filename	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence
15461_P2_RD10_01_211.mzXML	SAMPLE	11_to_20	Daily		
1551_P4_RF1_01_489.mzXML	SAMPLE	6_to_10	Regularly		
15542_P4_RB12_01_440.mzXML	SAMPLE	21_to_30	Occasionally		
15575_P3_RH6_01_400.mzXML	SAMPLE	6_to_10	Daily		
15581_P2_RD4_01_203.mzXML	SAMPLE	Less_than_5	Occasionally		
15598_P2_RH6_01_270.mzXML	SAMPLE	6_to_10	Regularly		
15623_P2_RC3_01_187.mzXML	SAMPLE	Less_than_5	Regularly		
15826_P2_RF6_01_238.mzXML	SAMPLE	More_than_30	Rarely	Rarely (less than once/week)	Regularly
15828_P3_RD4_01_338.mzXML	SAMPLE	21_to_30	Daily		
16313_P2_RE4_01_219.mzXML	SAMPLE	11_to_20	Occasionally		
16333_P2_RA5_01_159.mzXML	SAMPLE	21_to_30	Regularly		
16484_P2_RE7_01_223.mzXML	SAMPLE		Rarely		
16485_P2_RG7_01_257.mzXML	SAMPLE		Rarely		
16500_P2_RD8_01_209.mzXML	SAMPLE	Less_than_5	Occasionally	Rarely (less than once/week)	Never
16501_P2_RD9_01_210.mzXML	SAMPLE	Less_than_5	Occasionally	Rarely (less than once/week)	Never
17080_P2_RG2_01_251.mzXML	SAMPLE	11_to_20	Daily		
17092_P1_RH12_01_140.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Occasionally
17093_P2_RF3_01_235.mzXML	SAMPLE	11_to_20	Daily		
17118_P2_RB1_01_170.mzXML	SAMPLE		Regularly	Never	Never
17208_P2_RD2_01_201.mzXML	SAMPLE	More_than_30	Occasionally		
1748_P4_RD3_01_460.mzXML	SAMPLE	6_to_10	Daily		
1820_P3_RB5_01_309.mzXML	SAMPLE	More_than_30	Daily	Occasionally	Regularly
18404_P3_RF6_01_370.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	
18412_P1_RB2_01_52.mzXML	SAMPLE	21_to_30	Daily	Occasionally	Regularly
2033_P3_RC2_01_321.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
20515_P1_RB1_01_51.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Daily
20538_P3_RE7_01_357.mzXML	SAMPLE		Rarely	Never	Occasionally
20562_P1_RA9_01_46.mzXML	SAMPLE		Occasionally	Occasionally	Daily
20681_P2_RB4_01_173.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Never
20706_P2_RG3_01_252.mzXML	SAMPLE		Rarely	Daily	Daily
20788_P2_RC5_01_189.mzXML	SAMPLE		Regularly	Daily	Daily
2173_P4_RF10_01_499.mzXML	SAMPLE	Less_than_5	Never		
21950_P1_RF11_01_113.mzXML	SAMPLE		Regularly	Occasionally	Daily
22159_P1_RA5_01_42.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Never
22164_P1_RA10_01_47.mzXML	SAMPLE		Daily	Daily	Daily
22431_P3_RF4_01_368.mzXML	SAMPLE		Daily		
22510_P3_RG10_01_390.mzXML	SAMPLE	6_to_10	Regularly	Occasionally	Rarely
22541_P3_RF5_01_369.mzXML	SAMPLE		Daily	Never	Never
22591_P3_RG7_01_387.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Never
22606_P1_RH8_01_136.mzXML	SAMPLE		Daily	Occasionally	Rarely
22638_P1_RH10_01_138.mzXML	SAMPLE		Rarely	Daily	Rarely
22663_P1_RG9_01_124.mzXML	SAMPLE		Rarely	Occasionally	Never
22676_P3_RB6_01_310.mzXML	SAMPLE		Daily	Regularly	Never
22951_P1_RB12_01_62.mzXML	SAMPLE		Regularly	Occasionally	Daily
22959_P2_RA3_01_157.mzXML	SAMPLE		Daily	Daily	Regularly
22965_P2_RA1_01_155.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
2319_P4_RE1_01_473.mzXML	SAMPLE	11_to_20	Occasionally	Occasionally	Daily
23203_P1_RA7_01_44.mzXML	SAMPLE		Daily	Rarely (less than once/week)	Daily
23217_P2_RE11_01_227.mzXML	SAMPLE	21_to_30	Regularly	Regularly	Occasionally
23230_P2_RB5_01_174.mzXML	SAMPLE		Daily	Daily	Daily
23231_P1_RA8_01_45.mzXML	SAMPLE		Regularly	Occasionally	Daily
2326_P3_RA5_01_292.mzXML	SAMPLE		Regularly	Daily	Never
2331_P1_RD11_01_87.mzXML	SAMPLE	21_to_30	Regularly		
23840_P1_RC9_01_72.mzXML	SAMPLE		Regularly	Daily	Daily
23894_P2_RC9_01_194.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
23928_P2_RF12_01_247.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Never
23984_P1_RH9_01_137.mzXML	SAMPLE		Occasionally	Never	Never
2414_P3_RG12_01_392.mzXML	SAMPLE	6_to_10	Occasionally		
2419_P4_RG2_01_505.mzXML	SAMPLE	11_to_20	Regularly	Never	
2443_P4_RG12_01_516.mzXML	SAMPLE	More_than_30	Daily	Occasionally	Never
2465_P4_RH4_01_522.mzXML	SAMPLE	21_to_30	Daily		
26002_P1_RG8_01_123.mzXML	SAMPLE		Occasionally	Regularly	Regularly
26041_P1_RG10_01_125.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Never
26049_P2_RD12_01_213.mzXML	SAMPLE	6_to_10	Occasionally	Never	Daily
2607_P5_RC1_01_569.mzXML	SAMPLE	11_to_20	Regularly		
26076_P1_RH4_01_132.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Never
26083_P3_RA4_01_291.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Never
26116_P5_RF1_01_618.mzXML	SAMPLE		Rarely	Rarely (less than once/week)	
26122_P5_RD2_01_586.mzXML	SAMPLE		Occasionally	Regularly	Never
26124_P1_RC5_01_68.mzXML	SAMPLE		Regularly	Regularly	Never
26143_P1_RG5_01_120.mzXML	SAMPLE		Daily	Never	Never
26193_P1_RG4_01_119.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
2632_P4_RC11_01_454.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
26521_P1_GH1_01_149.mzXML	SAMPLE		Daily	Rarely (less than once/week)	Daily
26661_P3_RG6_01_385.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
2712_P4_RG7_01_511.mzXML	SAMPLE	6_to_10	Occasionally		
27278_P5_RE11_01_614.mzXML	SAMPLE	21_to_30	Daily	Regularly	Occasionally
27373_P2_RD5_01_204.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
2752_P3_RA12_01_299.mzXML	SAMPLE	11_to_20	Rarely		
27623_P2_RH3_01_267.mzXML	SAMPLE		Daily	Rarely (less than once/week)	Never
27643_P2_RF2_01_234.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
27659_P1_RF9_01_111.mzXML	SAMPLE		Regularly	Occasionally	Rarely
27670_P2_RF4_01_236.mzXML	SAMPLE		Regularly	Daily	Daily
2783_P4_RF11_01_500.mzXML	SAMPLE	Less_than_5	Regularly		
27840_P1_RG3_01_118.mzXML	SAMPLE	6_to_10	Occasionally	Occasionally	Rarely
27899_P3_RG1_01_380.mzXML	SAMPLE		Daily	Daily	Rarely
28089_P3_RD2_01_336.mzXML	SAMPLE		Regularly	Occasionally	Rarely
28118_P2_RB2_01_171.mzXML	SAMPLE		Rarely	Occasionally	Rarely
28169_P2_RH1_01_265.mzXML	SAMPLE		Regularly	Daily	Daily
28187_P3_RC6_01_325.mzXML	SAMPLE		Occasionally	Never	Never
28208_P1_RB4_01_54.mzXML	SAMPLE		Regularly	Regularly	Never
28278_P3_RE6_01_355.mzXML	SAMPLE		Regularly	Never	Occasionally
28463_P3_RB1_01_305.mzXML	SAMPLE		Occasionally	Daily	Occasionally
28534_P6_RC3_01_682.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
2865_P5_RG1_01_634.mzXML	SAMPLE	6_to_10	Regularly		
28663_P2_RH2_01_266.mzXML	SAMPLE		Regularly	Never	Never
2869_P4_RG9_01_513.mzXML	SAMPLE	Less_than_5	Daily		
28719_P3_RC3_01_322.mzXML	SAMPLE		Rarely	Rarely (less than once/week)	Rarely
28742_P6_RH3_01_700.mzXML	SAMPLE	6_to_10	Regularly	Never	Never
28744_P3_RE3_01_352.mzXML	SAMPLE		Daily	Occasionally	Occasionally
28841_P3_RH5_01_399.mzXML	SAMPLE		Daily	Daily	Daily
29161_P3_RD5_01_339.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
29164_P3_RD6_01_340.mzXML	SAMPLE		Rarely	Rarely (less than once/week)	Occasionally
29298_P3_RA6_01_293.mzXML	SAMPLE				Never
29312_P2_RH4_01_268.mzXML	SAMPLE		Daily	Occasionally	Never
29313_P3_RH3_01_397.mzXML	SAMPLE		Regularly		Occasionally
29322_P2_RC1_01_185.mzXML	SAMPLE		Occasionally	Never	Rarely
29342_P5_RF3_01_620.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Rarely
29343_P1_RC1_01_64.mzXML	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Daily
29396_P3_RG3_01_382.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Rarely
29407_P3_RG5_01_384.mzXML	SAMPLE		Occasionally	Never	Regularly
29432_P1_RC10_01_73.mzXML	SAMPLE		Regularly	Daily	Regularly
29452_P3_RH4_01_398.mzXML	SAMPLE		Daily	Daily	Rarely
29455_P2_RG4_01_253.mzXML	SAMPLE		Regularly	Never	Regularly
29477_P2_RG1_01_250.mzXML	SAMPLE		Rarely	Rarely (less than once/week)	Occasionally
29485_P3_RA7_01_294.mzXML	SAMPLE		Regularly	Regularly	Regularly
29504_P3_RH2_01_396.mzXML	SAMPLE		Rarely	Regularly	Never
29535_P2_RA4_01_158.mzXML	SAMPLE		Daily	Regularly	Rarely
29998_P3_RF8_01_373.mzXML	SAMPLE		Occasionally		Daily
3001_P1_RB5_01_55.mzXML	SAMPLE	11_to_20	Daily	Occasionally	Regularly
30082_P1_RC2_01_65.mzXML	SAMPLE		Rarely	Never	Never
30146_P3_RA1_01_287.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Never
30233_P3_RC5_01_324.mzXML	SAMPLE		Occasionally	Never	Never
30310_P3_RH7_01_401.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Daily
30342_P1_GF1_01_147.mzXML	SAMPLE		Occasionally	Never	Rarely
30362_P1_RH2_01_130.mzXML	SAMPLE		Rarely	Rarely (less than once/week)	Rarely
30370_P2_RE3_01_218.mzXML	SAMPLE		Occasionally	Occasionally	Regularly
30483_P1_GD1_01_145.mzXML	SAMPLE	6_to_10	Occasionally	Never	Never
30484_P3_RE9_01_359.mzXML	SAMPLE	21_to_30	Rarely	Rarely (less than once/week)	Never
30548_P5_RG11_01_646.mzXML	SAMPLE	6_to_10	Never	Never	Never
30736_P5_RG2_01_635.mzXML	SAMPLE		Regularly	Regularly	
30742_P5_RH1_01_650.mzXML	SAMPLE		Occasionally	Never	Regularly
30763_P5_RA5_01_539.mzXML	SAMPLE		Occasionally		Never
30774_P5_RA3_01_537.mzXML	SAMPLE		Never	Never	Never
30974_P3_RD11_01_346.mzXML	SAMPLE	11_to_20	Regularly	Regularly	Daily
30993_P3_RF3_01_367.mzXML	SAMPLE		Regularly	Occasionally	Never
31006_P3_RE4_01_353.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Never
31085_P3_RC4_01_323.mzXML	SAMPLE		Regularly	Regularly	Never
31265_P2_RD1_01_200.mzXML	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Occasionally
31295_P3_RE1_01_350.mzXML	SAMPLE		Occasionally	Rarely (less than once/week)	Never
31463_P3_RE8_01_358.mzXML	SAMPLE		Regularly	Daily	Occasionally
31479_P3_RD3_01_337.mzXML	SAMPLE		Daily	Daily	Daily
31488_P5_RD4_01_588.mzXML	SAMPLE	Less_than_5	Daily	Never	Never
31493_P3_RD7_01_342.mzXML	SAMPLE	Less_than_5	Daily	Rarely (less than once/week)	Never
31501_P1_RH6_01_134.mzXML	SAMPLE		Regularly	Occasionally	Daily
31515_P3_RB4_01_308.mzXML	SAMPLE		Daily	Occasionally	Regularly
31790_P3_RE5_01_354.mzXML	SAMPLE		Regularly	Occasionally	Regularly
31878_P1_RH3_01_131.mzXML	SAMPLE	More_than_30	Occasionally		
31891_P3_RF7_01_372.mzXML	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Daily
31892_P3_RC7_01_327.mzXML	SAMPLE	21_to_30	Regularly	Never	Daily
31904_P5_RE3_01_604.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
32629_P1_RD12_01_88.mzXML	SAMPLE	21_to_30	Daily	Never	Rarely
32652_P1_GC1_01_144.mzXML	SAMPLE	6_to_10	Occasionally	Never	Rarely
3266_P2_RE6_01_221.mzXML	SAMPLE	21_to_30	Regularly		
32665_P1_RB9_01_59.mzXML	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Rarely
32676_P5_RD3_01_587.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
32737_P1_RC3_01_66.mzXML	SAMPLE	More_than_30	Occasionally	Never	Rarely
32741_P5_RC12_01_662.mzXML	SAMPLE	11_to_20	Occasionally	Never	Never
32748_P5_RE10_01_613.mzXML	SAMPLE	21_to_30	Never	Rarely (less than once/week)	Rarely
32753_P5_RC10_01_580.mzXML	SAMPLE	21_to_30	Regularly	Regularly	Rarely
32754_P5_RE6_01_607.mzXML	SAMPLE	More_than_30	Regularly	Never	Regularly
32760_P6_RA1_01_673.mzXML	SAMPLE	21_to_30	Rarely	Never	Rarely
32764_P3_RF12_01_377.mzXML	SAMPLE	More_than_30	Regularly	Daily	Daily
3277_P4_RG10_01_514.mzXML	SAMPLE	6_to_10	Daily		
32796_P1_RE11_01_100.mzXML	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Daily
3280_P2_RE10_01_226.mzXML	SAMPLE	6_to_10	Daily		
32848_P3_RD1_01_335.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Rarely
32872_P2_RH11_01_276.mzXML	SAMPLE	More_than_30	Occasionally	Rarely (less than once/week)	Daily
32878_P5_RG10_01_645.mzXML	SAMPLE	11_to_20	Rarely	Never	Rarely
32907_P5_RH2_01_651.mzXML	SAMPLE	11_to_20	Rarely	Never	Never
32921_P1_RB7_01_57.mzXML	SAMPLE	21_to_30	Regularly	Occasionally	Daily
32955_P3_RC11_01_331.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
32963_P2_RH9_01_274.mzXML	SAMPLE		Occasionally	Never	Never
33027_P2_RD7_01_208.mzXML	SAMPLE	21_to_30	Daily	Regularly	Daily
33134_P5_RG9_01_644.mzXML	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Rarely
3317_P1_RB10_01_60.mzXML	SAMPLE	6_to_10	Daily		
33382_P6_RE3_01_690.mzXML	SAMPLE	11_to_20	Daily	Never	Never
33428_P6_RB2_01_678.mzXML	SAMPLE	More_than_30	Daily	Never	Rarely
33459_P3_RA10_01_297.mzXML	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Occasionally
33472_P1_RD9_01_85.mzXML	SAMPLE	21_to_30	Rarely	Never	Daily
33473_P1_RG2_01_117.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Daily
33475_P5_RF11_01_630.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Daily
33482_P5_RF9_01_628.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
33510_P5_RB9_01_562.mzXML	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
33548_P1_RF8_01_110.mzXML	SAMPLE	More_than_30	Regularly	Occasionally	Daily
33561_P6_RE2_01_689.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Never
33564_P1_RD1_01_77.mzXML	SAMPLE	More_than_30	Occasionally	Rarely (less than once/week)	Regularly
33590_P5_RD12_01_599.mzXML	SAMPLE	More_than_30	Occasionally	Never	Never
33591_P5_RF10_01_629.mzXML	SAMPLE	More_than_30	Occasionally	Never	Never
33729_P3_RB8_01_313.mzXML	SAMPLE	21_to_30	Daily	Rarely (less than once/week)	Regularly
33748_P1_GG1_01_148.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
33797_P5_RB4_01_555.mzXML	SAMPLE		Occasionally	Never	Occasionally
33799_P5_RE2_01_603.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
34123_P5_RC3_01_571.mzXML	SAMPLE		Daily	Never	Regularly
35272_P6_RB3_01_679.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
3531_P4_RB6_01_433.mzXML	SAMPLE	21_to_30	Occasionally	Daily	Never
35348_P3_RE12_01_362.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Daily
35361_P5_RA2_01_536.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
35416_P5_RG7_01_642.mzXML	SAMPLE		Occasionally	Never	Never
35478_P3_RD12_01_347.mzXML	SAMPLE	More_than_30	Daily	Regularly	Daily
35484_P1_RE8_01_97.mzXML	SAMPLE		Regularly	Regularly	Rarely
3559_P4_RF2_01_490.mzXML	SAMPLE	11_to_20	Regularly		
3580_P4_RE12_01_485.mzXML	SAMPLE	6_to_10	Rarely		
36135_P3_RB10_01_315.mzXML	SAMPLE		Regularly	Occasionally	Rarely
36157_P5_RA7_01_543.mzXML	SAMPLE		Occasionally	Never	Rarely
36865_P5_RC11_01_581.mzXML	SAMPLE		Occasionally	Regularly	Regularly
36876_P5_RB8_01_561.mzXML	SAMPLE		Regularly	Daily	Daily
36963_P5_RA11_01_547.mzXML	SAMPLE		Occasionally	Occasionally	Daily
37486_P5_RD6_01_593.mzXML	SAMPLE		Regularly	Regularly	Regularly
37491_P3_RG9_01_389.mzXML	SAMPLE		Rarely	Regularly	Daily
37514_P5_RC2_01_570.mzXML	SAMPLE		Regularly	Regularly	Regularly
37534_P3_RF2_01_366.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
37542_P6_RD1_01_685.mzXML	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Regularly
37543_P6_RG2_01_695.mzXML	SAMPLE	6_to_10	Rarely	Never	Never
37549_P5_RD11_01_598.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Rarely
37551_P2_RD11_01_212.mzXML	SAMPLE	More_than_30	Regularly	Occasionally	
37576_P5_RB12_01_566.mzXML	SAMPLE		Daily	Daily	Never
37595_P3_RA8_01_295.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
37597_P5_RD5_01_589.mzXML	SAMPLE		Occasionally	Daily	Occasionally
37598_P1_RE1_01_90.mzXML	SAMPLE		Occasionally	Daily	Occasionally
37611_P3_RF9_01_374.mzXML	SAMPLE		Rarely	Never	Never
37917_P5_RG3_01_636.mzXML	SAMPLE	11_to_20	Daily	Daily	Never
37925_P2_RG9_01_259.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
37936_P5_RA6_01_540.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
37937_P6_RD2_01_686.mzXML	SAMPLE	6_to_10	Regularly	Never	Daily
37946_P5_RF4_01_621.mzXML	SAMPLE	11_to_20	Regularly	Never	Regularly
37950_P2_RA12_01_167.mzXML	SAMPLE	11_to_20	Rarely	Never	Daily
37961_P1_RE3_01_92.mzXML	SAMPLE	11_to_20	Regularly	Never	Rarely
37967_P1_RD10_01_86.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
37970_P5_RF5_01_622.mzXML	SAMPLE	11_to_20	Occasionally	Never	Occasionally
37984_P3_RG11_01_391.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
37987_P1_RD2_01_78.mzXML	SAMPLE	11_to_20	Regularly	Occasionally	Never
37989_P2_RF11_01_246.mzXML	SAMPLE	11_to_20	Daily	Never	Occasionally
37995_P1_RD8_01_84.mzXML	SAMPLE	21_to_30	Rarely	Never	Rarely
37996_P5_RG5_01_638.mzXML	SAMPLE	6_to_10	Daily	Rarely (less than once/week)	Rarely
3800_P4_RD1_01_458.mzXML	SAMPLE	21_to_30	Rarely		
38006_P1_RE4_01_93.mzXML	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Never
38024_P3_RF1_01_365.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Occasionally
38031_P1_RE2_01_91.mzXML	SAMPLE	21_to_30	Regularly	Daily	Daily
38032_P5_RD9_01_596.mzXML	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Never
38034_P5_RG6_01_639.mzXML	SAMPLE	11_to_20	Occasionally	Never	Rarely
38037_P5_RH3_01_652.mzXML	SAMPLE	21_to_30	Daily	Never	Never
38042_P5_RC5_01_573.mzXML	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Rarely
38043_P3_RA11_01_298.mzXML	SAMPLE	11_to_20	Regularly	Never	Never
38045_P5_RG4_01_637.mzXML	SAMPLE	11_to_20	Regularly	Never	Regularly
38057_P5_RE1_01_602.mzXML	SAMPLE	6_to_10	Daily	Never	Never
38063_P1_RF10_01_112.mzXML	SAMPLE	21_to_30	Occasionally	Never	Occasionally
38075_P1_RB11_01_61.mzXML	SAMPLE	21_to_30	Rarely	Rarely (less than once/week)	Regularly
38093_P5_RE5_01_606.mzXML	SAMPLE	6_to_10	Occasionally	Never	Never
38099_P1_RD7_01_83.mzXML	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Rarely
38118_P2_RH10_01_275.mzXML	SAMPLE	21_to_30	Regularly	Never	Never
38125_P6_RG1_01_694.mzXML	SAMPLE	6_to_10	Occasionally	Rarely (less than once/week)	Daily
