filename	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence
37549_P5_RD11_01_598	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Rarely
37551_P2_RD11_01_212	SAMPLE	More_than_30	Regularly	Occasionally	
37576_P5_RB12_01_566	SAMPLE		Daily	Daily	Never
37595_P3_RA8_01_295	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
37597_P5_RD5_01_589	SAMPLE		Occasionally	Daily	Occasionally
37598_P1_RE1_01_90	SAMPLE		Occasionally	Daily	Occasionally
37611_P3_RF9_01_374	SAMPLE		Rarely	Never	Never
37917_P5_RG3_01_636	SAMPLE	11_to_20	Daily	Daily	Never
37925_P2_RG9_01_259	SAMPLE	11_to_20	Regularly	Never	Never
37936_P5_RA6_01_540	SAMPLE	11_to_20	Regularly	Never	Never
37937_P6_RD2_01_686	SAMPLE	6_to_10	Regularly	Never	Daily
37946_P5_RF4_01_621	SAMPLE	11_to_20	Regularly	Never	Regularly
37950_P2_RA12_01_167	SAMPLE	11_to_20	Rarely	Never	Daily
37961_P1_RE3_01_92	SAMPLE	11_to_20	Regularly	Never	Rarely
37967_P1_RD10_01_86	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
37970_P5_RF5_01_622	SAMPLE	11_to_20	Occasionally	Never	Occasionally
37984_P3_RG11_01_391	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
37987_P1_RD2_01_78	SAMPLE	11_to_20	Regularly	Occasionally	Never
37989_P2_RF11_01_246	SAMPLE	11_to_20	Daily	Never	Occasionally
37995_P1_RD8_01_84	SAMPLE	21_to_30	Rarely	Never	Rarely
37996_P5_RG5_01_638	SAMPLE	6_to_10	Daily	Rarely (less than once/week)	Rarely
3800_P4_RD1_01_458	SAMPLE	21_to_30	Rarely		
38006_P1_RE4_01_93	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Never
38024_P3_RF1_01_365	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Occasionally
38031_P1_RE2_01_91	SAMPLE	21_to_30	Regularly	Daily	Daily
38032_P5_RD9_01_596	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Never
38034_P5_RG6_01_639	SAMPLE	11_to_20	Occasionally	Never	Rarely
38037_P5_RH3_01_652	SAMPLE	21_to_30	Daily	Never	Never
38042_P5_RC5_01_573	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Rarely
38043_P3_RA11_01_298	SAMPLE	11_to_20	Regularly	Never	Never
38045_P5_RG4_01_637	SAMPLE	11_to_20	Regularly	Never	Regularly
38057_P5_RE1_01_602	SAMPLE	6_to_10	Daily	Never	Never
38063_P1_RF10_01_112	SAMPLE	21_to_30	Occasionally	Never	Occasionally
38075_P1_RB11_01_61	SAMPLE	21_to_30	Rarely	Rarely (less than once/week)	Regularly
38093_P5_RE5_01_606	SAMPLE	6_to_10	Occasionally	Never	Never
38099_P1_RD7_01_83	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Rarely
38118_P2_RH10_01_275	SAMPLE	21_to_30	Regularly	Never	Never
38125_P6_RG1_01_694	SAMPLE	6_to_10	Occasionally	Rarely (less than once/week)	Daily
38126_P1_GE1_01_146	SAMPLE	6_to_10	Regularly	Never	Never
38129_P1_RD4_01_80	SAMPLE	21_to_30	Regularly	Never	Never
38131_P5_RA4_01_538	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Regularly
38134_P1_RD3_01_79	SAMPLE	6_to_10	Rarely	Occasionally	Rarely
38136_P1_RE12_01_101	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Occasionally
38141_P1_RB8_01_58	SAMPLE	21_to_30	Daily	Occasionally	Daily
38146_P2_RC12_01_197	SAMPLE	6_to_10	Daily	Occasionally	Never
38148_P2_RH12_01_277	SAMPLE	11_to_20	Daily	Never	Never
38149_P6_RF1_01_691	SAMPLE	11_to_20	Rarely	Never	Regularly
38153_P5_RB6_01_557	SAMPLE	6_to_10	Occasionally	Never	Occasionally
38161_P2_RB12_01_182	SAMPLE	21_to_30	Occasionally	Never	Regularly
38166_P3_RA9_01_296	SAMPLE	6_to_10	Rarely	Never	Never
38183_P6_RA3_01_675	SAMPLE	21_to_30	Regularly	Never	Never
38189_P5_RC6_01_574	SAMPLE	21_to_30	Daily	Occasionally	Regularly
38190_P2_RA9_01_164	SAMPLE	21_to_30	Regularly	Occasionally	Daily
38191_P5_RC4_01_572	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
38225_P6_RF3_01_693	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
38240_P1_RF2_01_104	SAMPLE	6_to_10	Occasionally	Never	Daily
38245_P3_RG8_01_388	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
38246_P3_RD9_01_344	SAMPLE	21_to_30	Regularly	Never	Never
38253_P5_RE4_01_605	SAMPLE	6_to_10	Rarely	Rarely (less than once/week)	Regularly
38255_P5_RB3_01_554	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
38272_P1_RC12_01_75	SAMPLE	11_to_20	Rarely	Never	Rarely
38311_P1_RF5_01_107	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Regularly
38333_P1_RF7_01_109	SAMPLE	6_to_10	Regularly	Never	Regularly
38334_P1_RF1_01_103	SAMPLE	6_to_10	Regularly	Never	Regularly
38360_P5_RH5_01_654	SAMPLE	21_to_30	Regularly	Never	Daily
38378_P2_RE12_01_228	SAMPLE	Less_than_5	Never	Never	Never
38393_P5_RF6_01_623	SAMPLE	11_to_20	Rarely	Regularly	Never
38435_P3_RB7_01_312	SAMPLE		Occasionally	Daily	Occasionally
38454_P5_RF7_01_626	SAMPLE	More_than_30	Regularly	Regularly	Daily
39808_P3_RH8_01_402	SAMPLE		Occasionally	Daily	Daily
39828_P2_RF9_01_244	SAMPLE	21_to_30	Daily	Never	Never
39837_P2_RC11_01_196	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Regularly
